Math name;Math group;Math type;Folder;Math description;Parameter type;Parameter enable;Parameter name;Parameter kind;TAG name;Value;External unit;Internal unit;Formula
AD-IO-08;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-08;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-08;NaN;mbarD;mbarD;
AD-IO-09;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P808/E;;mbarD;mbarD;
AD-IO-09;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P808/C;;mbarD;mbarD;
AD-IO-09;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P808/C;;mbarD;mbarD;
AD-IO-09;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-09;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-09;NaN;mbarD;mbarD;
AP1A-Avg;Generic;Average;Average;;Input;Enable;A0;Tag;AP1A01_deg;;deg;deg;
AP1A-Avg;Generic;Average;Average;;Input;Enable;B0;Tag;AP1A02_deg;;deg;deg;
AP1A-Avg;Generic;Average;Average;;Input;Enable;C0;Tag;AP1A03_deg;;deg;deg;
AP1A-Avg;Generic;Average;Average;;Output;Enable;;Calc;AP1A-Avg;NaN;deg;deg;
AP1A-Avg;Generic;Average;Average;;Output;Disable;;Calc;AP1A-Avg:SD;NaN;deg;deg;
AQ-HPC;Generic;Custom Math;Inlet Flow HPC;;Input;Enable;a;Tag;AQ-IO;;kg/s;kg/s;
AQ-HPC;Generic;Custom Math;Inlet Flow HPC;;Input;Enable;b;Tag;MQ-VBV;;kg/s;kg/s;
AQ-HPC;Generic;Custom Math;Inlet Flow HPC;;Output;Enable;c;Calc;AQ-HPC;0;kg/s;kg/s;AQ-HPC=AQ-IO-MQ-VBV
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;a;Tag;AQ-IO-01;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;b;Tag;AQ-IO-02;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;c;Tag;AQ-IO-03;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;d;Tag;AQ-IO-04;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;e;Tag;AQ-IO-05;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;f;Tag;AQ-IO-06;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;g;Tag;AQ-IO-07;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;h;Tag;AQ-IO-08;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Input;Enable;i;Tag;AQ-IO-09;;kg/s;kg/s;
AQ-IO;Generic;Custom Math;Inlet Flow;;Output;Enable;l;Calc;AQ-IO;0;kg/s;kg/s;AQ-IO=AQ-IO-01+AQ-IO-02+AQ-IO-03+AQ-IO-04+AQ-IO-05+AQ-IO-06+AQ-IO-07+AQ-IO-08+AQ-IO-09
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P800/AB;;°C;°C;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P800/D;;mbarA;barA;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-01;;mbarD;kPaD;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-01;NaN;kg/s;kg/s;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-01:Reynolds;NaN; -; -;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-01:Total Preassure;NaN;barA;barA;
AQ-IO-01;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-01:Speed;NaN;m/s;m/s;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P801/AB;;°C;°C;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P801/D;;mbarA;barA;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-02;;mbarD;kPaD;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-02;NaN;kg/s;kg/s;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-02:Reynolds;NaN; -; -;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-02:Total Preassure;NaN;barA;barA;
AQ-IO-02;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-02:Speed;NaN;m/s;m/s;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P802/AB;;°C;°C;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P802/D;;mbarA;barA;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-03;;mbarD;kPaD;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-03;NaN;kg/s;kg/s;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-03:Reynolds;NaN; -; -;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-03:Total Preassure;NaN;barA;barA;
AQ-IO-03;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-03:Speed;NaN;m/s;m/s;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P803/AB;;°C;°C;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P803/D;;mbarA;barA;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-04;;mbarD;kPaD;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-04;NaN;kg/s;kg/s;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-04:Reynolds;NaN; -; -;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-04:Total Preassure;NaN;barA;barA;
AQ-IO-04;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-04:Speed;NaN;m/s;m/s;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P804/AB;;°C;°C;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P804/D;;mbarA;barA;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-05;;mbarD;kPaD;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;0;; -;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-05;NaN;kg/s;kg/s;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-05:Reynolds;NaN; -; -;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-05:Total Preassure;NaN;barA;barA;
AQ-IO-05;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-05:Speed;NaN;m/s;m/s;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P805/AB;;°C;°C;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P805/D;;mbarA;barA;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-06;;mbarD;kPaD;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-06;NaN;kg/s;kg/s;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-06:Reynolds;NaN; -; -;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-06:Total Preassure;NaN;barA;barA;
AQ-IO-06;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-06:Speed;NaN;m/s;m/s;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P806/AB;;°C;°C;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P806/D;;mbarA;barA;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-07;;mbarD;kPaD;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-07;NaN;kg/s;kg/s;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-07:Reynolds;NaN; -; -;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-07:Total Preassure;NaN;barA;barA;
AQ-IO-07;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-07:Speed;NaN;m/s;m/s;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P807/AB;;°C;°C;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P807/D;;mbarA;barA;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-08;;mbarD;kPaD;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Probe Type;Constant;;1;; -;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Gas composition;Gas Analysis;;0;;;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Year of norm;Constant;;0;; -;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Enable;;Calc;AQ-IO-08;NaN;kg/s;kg/s;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-08:Reynolds;NaN; -; -;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-08:Total Preassure;NaN;barA;barA;
AQ-IO-08;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Output;Disable;;Calc;AQ-IO-08:Speed;NaN;m/s;m/s;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Type of Fluid;Constant;;0;; -;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Temperature;Tag;TE-P808/AB;;°C;°C;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Upstream Pressure;Tag;PDT-P808/D;;mbarA;barA;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Differential pressure;Tag;AD-IO-09;;mbarD;kPaD;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Downstream Pressure;Constant;;0;;barA;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Dp min.;Constant;;0.2;;mmH2OD;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Pipeline diameter;Constant;;1000;;mm;
AQ-IO-09;Mass Flow;Mass Flow ISO 5167 (diaphragms);Inlet Flow;;Input;Enable;Orefice diameter;Constant;;670;;mm;
